ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Hazard Category,Hazard Type,Hazard Sub Type
PHL,Philippines,2019,"Philippines, thailand, vietnam, lao pdr: tropical storm podul (jenny) - 24/8/2019",2019-08-24,4200,Weather related,Storm,"Storm, tropical"
PHL,Philippines,2019,Philippines: earthquake - carrascal (surigao del sur) - 13/7/2019,2019-07-13,220,Geophysical,Earthquake,Earthquake
PHL,Philippines,2019,Philippines: earthquake - itbayat (batanes) - 27/7/2019,2019-07-27,2400,Geophysical,Earthquake,Earthquake
PHL,Philippines,2019,Philippines: flash flood - lapuyan city (zamboanga del sur) - 29/7/2019,2019-07-29,580,Weather related,Flood,Flash flood
PHL,Philippines,2019,Philippines: flash flood - davao city (davao del sur) - 2/9/2019,2019-09-02,550,Weather related,Flood,Flash flood
PHL,Philippines,2019,Philippines: tropical depression egay - zambales - 29/6/2019,2019-06-29,120,Weather related,Storm,"Storm, tropical"
PHL,Philippines,2019,Philippines: flooding - midsayap (north cotabato) - 3/6/2019,2019-06-03,1000,Weather related,Flood,Flood
PHL,Philippines,2019,Philippines: typhoon phanfone (ursula) - 6 regions - 19/12/2019,2019-12-19,567000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2019,Philippines: tornado - camarines sur - 21/5/2019,2019-05-21,830,Weather related,Storm,Tornado
PHL,Philippines,2019,China; philippines; taiwan: tropical storm bailu (phl: ineng) - 20/8/2019,2019-08-20,3100,Weather related,Storm,"Storm, tropical"
PHL,Philippines,2019,Philippines: tornado - western visayas (antique) - 6/11/2019,2019-11-06,93,Weather related,Storm,Tornado
PHL,Philippines,2019,China; japan; south korea; philippines; taiwan: typhoon lekima (hanna) - 2/8/2019,2019-08-02,38000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2019,Philippines: tornado - negros occidental - 3/8/2019,2019-08-03,200,Weather related,Storm,Tornado
PHL,Philippines,2019,"Philippines: tropical depression ""chedeng"" - 17/3/2019",2019-03-17,6700,Weather related,Storm,"Storm, tropical, cyclone"
PHL,Philippines,2019,Philippines: flooding - caloocan city (ncr) - 24/6/2019,2019-06-24,88,Weather related,Flood,Flood
PHL,Philippines,2019,Philippines: earthquake - north cotabato (tulunan) - 16/10/2019,2019-10-16,8300,Geophysical,Earthquake,Earthquake
PHL,Philippines,2019,Philippines: tornado - marogong (lanao del sur) - 3/8/2019,2019-08-03,130,Weather related,Storm,Tornado
PHL,Philippines,2019,"Philippines: tropical depression usman - calabarzon, mimaropa, region v, region viii - 28/12/2018",2018-12-28,552000,Weather related,Storm,"Storm, tropical, cyclone"
PHL,Philippines,2019,Philippines; viet nam: typhoon nakri (quiel) - 04/11/2019,2019-11-04,31000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2019,Philippines: earthquake - north cotabato (tulunan) - 29/10/2019,2019-10-29,223000,Geophysical,Earthquake,Earthquake
PHL,Philippines,2019,Philippines: tropical depression amang - caraga - 20/1/2019,2019-01-20,6200,Weather related,Storm,Storm
PHL,Philippines,2019,Philippines: earthquake - davao del sur (matanao) - 15/12/2019,2019-12-15,167000,Geophysical,Earthquake,Earthquake
PHL,Philippines,2019,Philippines: earthquake - makilala (north cotabato) - 9/7/2019,2019-07-09,760,Geophysical,Earthquake,Earthquake
PHL,Philippines,2019,"Philippines: northeast monsoon - luzon, visayas - 14/1/2019",2019-01-14,1400,Weather related,Storm,Storm
PHL,Philippines,2019,Philippines: effects of el nino (drought) - misamis oriental - 24/5/2019,2019-05-24,5400,Weather related,Drought,Drought
PHL,Philippines,2019,Philippines: flooding - agusan del sur (caraga) - 26/1/2019,2019-01-27,1900,Weather related,Flood,Flood
PHL,Philippines,2019,Philippines: earthquake - pampanga; zambales (region iii) - 22/4/2019,2019-04-22,9600,Geophysical,Earthquake,Earthquake
PHL,Philippines,2019,Philippines: strong winds - baguio district (davao city) - 20/8/2019,2019-08-20,140,Weather related,Storm,Storm
PHL,Philippines,2019,Philippines: tornado - mimaropa (occidental mindoro) - 18/9/2019,2019-09-18,47,Weather related,Storm,Tornado
PHL,Philippines,2019,"Philippines: earthquake - san julian, eastern samar (region viii) - 23/4/2019",2019-04-23,4,Geophysical,Earthquake,Earthquake
PHL,Philippines,2020,Philippines: strong wind - davao region (davao del sur/davao city) - 20/08/2020,2020-08-20,140,Weather related,Storm,Storm
PHL,Philippines,2020,Philippines: flash flood - sultan kudarat (bagumbayan) - 14/09/2020,2020-09-14,25,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flood - western visayas (negros occidental) - 31/07/2020,2020-07-31,460,Weather related,Flood,Flood
PHL,Philippines,2020,Philippines: flash flood - davao del sur (digos) - 28/06/2020,2020-06-28,1800,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - zamboanga (zamboanga sibugay) - 24/06/2020,2020-06-24,13,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - zamboanga (zamboanga sibugay) - 31/07/2020,2020-07-31,640,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - north cotabato (pigcawayan) - 17/10/2020 ,2020-10-17,680,Weather related,Flood,Flash flood
PHL,Philippines,2020,"Philippines: effects of the tail end of a cold front - ilocos, cagayan valley - 09/11/2020",2020-11-09,4100,Weather related,Flood,Flash flood
PHL,Philippines,2020,"Philippines: flooding incident in region vi - western visayas (capiz, iloilo) - 02/12/2020",2020-12-02,8500,Weather related,Flood,Flood
PHL,Philippines,2020,"Philippines: flash flood - soccsksargen (region xii) (north cotabato, makilala) - 20/10/2020 ",2020-10-20,1500,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: southwest monsoon enhanced by tropical storm leon - occidental mindoro (magsaysay) - 15/09/2020,2020-09-15,29,Weather related,Storm,"Storm, tropical"
PHL,Philippines,2020,Philippines: tropical storm saudel (pepito) - 19/10/2020,2020-10-19,31000,Weather related,Storm,"Storm, tropical"
PHL,Philippines,2020,"Philippines: flash flood - cagayan valley, car - 25/10/2020",2020-10-25,4900,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: storm - south cotabato (surallah) - 11/08/2020,2020-08-11,20,Weather related,Storm,Storm
PHL,Philippines,2020,Philippines: risk of landslides - cebu (cebu city) - october 2020,2020-10-14,760,Weather related,Wet mass movement,"Landslide, avalanche"
PHL,Philippines,2020,Philippines: flooding - cebu - 04/10/2020,2020-10-04,800,Weather related,Flood,Flood
PHL,Philippines,2020,"Philippines: flash flood and landlside - davao region (davao de oro, davao del norte, davao oriental) - 18/12/2020",2020-12-18,2100,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: earthquake - bicol (masbate) - 18/08/2020,2020-08-18,1400,Geophysical,Earthquake,Earthquake
PHL,Philippines,2020,"Philippines: flash flood - zamboanga del sur, zamboanga del norte - 17/10/2020",2020-10-17,8,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - north cotabato (kabacan) - 14/10/2020,2020-10-14,4300,Weather related,Flood,Flash flood
PHL,Philippines,2020,"Philippines: tropical depression krovanh (""vicky "" phl) - davao, caraga - 18/12/2020",2020-12-18,93000,Weather related,Storm,"Storm, storm surge"
PHL,Philippines,2020,Philippines: flash flood - south cotabato (koronadal) - 28/07/2020,2020-07-28,900,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: typhoon vongfong (ambo) - 9 regions - 10/05/2020,2020-05-10,298000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2020,"Philippines, viet nam: typhoon molave (quinta (phl), storm 9 (vnm)) -  23/10/2020",2020-10-23,623000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2020,"Philippines, viet nam: typhoon vamco (ulysses in phl) - 08/11/2020",2020-11-08,1560000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2020,"Philippines, vietnam: typhoon goni (rolly phl, typhoon no.10 vnm) - countrywide (phl), south central coast (vnm) - 26/10/2020",2020-10-26,1250000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2020,Philippines: flash flood - central visayas (cebu) - 13/10/2020,2020-10-13,250,Weather related,Flood,Flash flood
PHL,Philippines,2020,"Philippines: storm (north east monsoon) - western visaya (aklan, new washington) - 30/11/2020",2020-11-30,75,Weather related,Storm,Storm
PHL,Philippines,2020,"Philippines: northeast monsoon enhanced by tropical depression “vicky” - cagayan valley (cagayan, isabella, quirino) - 20/12/2020 ",2020-12-20,11000,Weather related,Storm,Storm
PHL,Philippines,2020,Philippines: soil erosion - lanao del sur (marawi city) - 2020 ,2020-08-09,4400,Weather related,Wet mass movement,Wet mass movement
PHL,Philippines,2020,Philippines: flash flood - basilan (lamitan) - 15/10/2020,2020-10-15,8,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - davao del sur (davao city) -19/10/2020,2020-10-19,4100,Weather related,Flood,Flash flood
PHL,Philippines,2020,"Philippines: tail-end of a frontal system (shear line)  - cagayan valley (cagayan, isabela, quirino) - 28/11/2020",2020-11-28,1100,Weather related,Storm,Storm
PHL,Philippines,2020,"Philippines: tropical depression ofel - calabarzon, bicol, central visayas - 13/10/2020",2020-10-13,6400,Weather related,Storm,"Storm, convective"
PHL,Philippines,2020,Philippines: flash flood - zamboanga (zamboanga city) - 15/09/2020,2020-09-15,270,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - sultan kudarat (palimbang) - 15/09/2020 ,2020-09-15,2100,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - zamboanga - 09/08/2020,2020-08-09,170,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flooding incident in cebu province due to lpa - 02/12/2020,2020-12-02,11000,Weather related,Flood,Flood
PHL,Philippines,2020,Philippines: flash flood - davao (davao de oro) - 13/08/2020,2020-08-13,1600,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flash flood - davao del sur (davao city) - 04/08/2020,2020-08-04,930,Weather related,Flood,Flash flood
PHL,Philippines,2020,Philippines: flood - culasi (antique) - 15/09/2020,2020-09-15,30,Weather related,Flood,Flood
PHL,Philippines,2020,Philippines: tornado - pangasinan (bayambang) - 27/04/2020,2020-04-27,100,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: tornado - pangasinan (basista) - 14/05/2020,2020-05-14,50,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: tornado - sultan kudarat (president quirino) - 07/06/2020,2020-06-07,130,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: tornado - bulacan (pulilan) - 06/07/2020,2020-07-06,25,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: tornado - car (ifugao) - 14/05/2020,2020-05-14,8,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: tornado - sultan kudarat (lambayong) - 22/09/2020,2020-09-22,80,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: whirlwind - misamis occidental (tudela) - 05/08/2020,2020-08-05,460,Weather related,Storm,Tornado
PHL,Philippines,2020,"Philippines: tornado, western visayas (antique, san jose) - 06/11/2020",2020-11-06,93,Weather related,Storm,Tornado
PHL,Philippines,2020,Philippines: dry mass movement - negros occidental (bago) -  24/06/2020,2020-06-24,76,Geophysical,Dry mass movement,Dry mass movement
PHL,Philippines,2021,Philippines; palau: typhoon surigae/bising - countrywide - 12/04/2021,2021-04-12,152000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2021,"Philippines, palau, viet nam: typhoon rai (locally known as odette) - 9 regions (phl), countrywide (plw), quang ngai, quang nam nd phu yen (vnm) - 11/12/2021",2021-12-11,3915000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2021,"Philippines: flood - visayas (negros occidental/city of escalante,sagay city) - 14/02/2021",2021-02-14,240,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [effects of shear line] - region viii - 11/12/2021,2021-12-11,1900,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - western visaya (negros occidental/talisay) - 07/02/2021,2021-02-07,280,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - eastern visayas (4 provinces) - 10/01/2021,2021-01-10,14000,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: strong wind - south cotabato (tupi) - 28/06/2021,2021-06-28,4,Weather related,Storm,Storm
PHL,Philippines,2021,"Philippines: storm - caraga (dinagat island, surigao del norte) - 13/01/2021",2021-01-13,1900,Weather related,Storm,Storm
PHL,Philippines,2021,Philippines: storm - south cotabato (tupi) - 07/05/2021,2021-05-07,63,Weather related,Storm,Storm
PHL,Philippines,2021,Philippines: whirlwind - marawi city - 02/05/2021,2021-05-02,85,Weather related,Storm,Storm
PHL,Philippines,2021,Philippines: strong winds - zamboanga sibugay (olutanga) - 27/06/2021,2021-06-27,150,Weather related,Storm,Storm
PHL,Philippines,2021,Philippines: strong wind - south cotabato (surallah) - 30/06/2021,2021-06-30,10,Weather related,Storm,Storm
PHL,Philippines,2021,"Philippines: storm - davao (davao del norte/talaingod, santo tomas) - 14/02/2021",2021-02-14,1400,Weather related,Storm,Storm
PHL,Philippines,2021,Philippines: storm - mimaropa (oriental mindonoro and palawan) - 01/01/2021,2021-01-01,330,Weather related,Storm,Storm
PHL,Philippines,2021,Philippines: flood - caraga - 03/12/2021,2021-12-03,1300,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - caraga - 05/12/2021,2021-12-05,590,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [lpa] - region x - 15/11/2021,2021-11-15,2100,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [northeast monsoon] - mimaropa - 27/12/2021,2021-12-27,4200,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - region viii - 08/02/2021,2021-02-08,36000,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [itcz] - region xi - 25/10/2021,2021-10-25,310,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [low pressure area] - mimaropa - 06/11/2021,2021-11-06,140,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - region xi - 09/10/2021,2021-10-09,6300,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [itcz] - mimaropa - 13/11/2021,2021-11-13,300,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [lpa] - region vi - 05/11/2021,2021-11-05,7500,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - region vi (capiz and negros occidental) - 08/01/2021,2021-01-08,27000,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [effect of lpa along itcz] - mimaropa and region vi - 24/10/2021,2021-10-24,2500,Weather related,Flood,Flood
PHL,Philippines,2021,"Philippines: flood [southwest monsoon] - ncr, region i, iii, vi, mimaropa and car - 29/07/2021",2021-07-29,293000,Weather related,Flood,Flood
PHL,Philippines,2021,"China, hong kong, macau, philippines, taiwan, viet nam: tropical cyclone kompasu (locally known as maring) - fujian (chn), countrywide (hkg), countrywide (mac), 7 regions (phl), yilan and hualien (twn), yen bai (vnm) - 10/10/2021",2021-10-10,421000,Weather related,Storm,"Storm, tropical, cyclone"
PHL,Philippines,2021,"Hong kong, macau, philippines: tropical cyclone lionrock (locally known as lannie) - countrywide - 04/10/2021",2021-10-04,8000,Weather related,Storm,"Storm, tropical, cyclone"
PHL,Philippines,2021,"Philippines, viet nam: tropical cyclone conson (locally known as jolina) - 8 regions (phl), 11 provinces (vnm) - 06/09/2021",2021-09-06,149000,Weather related,Storm,"Storm, tropical, cyclone"
PHL,Philippines,2021,Philippines: tornado - iloilo (lambunao) - 25/06/2021,2021-06-25,270,Weather related,Storm,Tornado
PHL,Philippines,2021,Philippines: threat of flashflood - north cotabato (alamada) - 22/05/2021,2021-05-22,1200,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flash flood - south cotabato (tantangan) - 11/06/2021,2021-06-11,650,Weather related,Flood,Flash flood
PHL,Philippines,2021,"Philippines: flash flood - soccskargen (cotabato/ makilala, m'lang) - 10/04/2021",2021-04-10,230,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flash flood - sultan kudarat - 27/06/2021,2021-06-27,280,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flashflood - northern mindanao (bukidnon/talakag/2 barangays) - 17/02/2021,2021-02-17,190,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flashflood - soccsksargen  (south cotabato/general santos) - 13/02/2021,2021-02-13,400,Weather related,Flood,Flash flood
PHL,Philippines,2021,"Philippines: flash flood - region x (camiguin, lanao del norte and misamis oriental) - 13/01/2021",2021-01-13,7100,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flash flood - region xii - 15/07/2021,2021-07-15,330,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flash flood - region x (misamis oriental) - 13/07/2021,2021-07-13,140,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flash flood [southwest monsoon] - region vi and mimaropa - 12/10/2021,2021-10-12,34000,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flash flood - region vii - 25/10/2021,2021-10-25,400,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flash flood - region vi (antique) - 16/09/2021,2021-09-16,420,Weather related,Flood,Flash flood
PHL,Philippines,2021,"Philippines: flash flood - northern mindanao (lanao del norte/bacolod,kauswagan) - 11/03/2021",2021-03-11,5600,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flash flood - region xii - 11/11/2021,2021-11-11,5,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flash flood - region x - 27/10/2021,2021-10-27,1700,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: flash flood - south cotabato (lake sebu) - 16/06/2021,2021-06-16,280,Weather related,Flood,Flash flood
PHL,Philippines,2021,Philippines: tornado - iloilo (pototan) - 28/05/2021,2021-05-28,66,Weather related,Storm,Tornado
PHL,Philippines,2021,Philippines: tornado - pangasinan (asingan) - 23/05/2021,2021-05-23,89,Weather related,Storm,Tornado
PHL,Philippines,2021,Philippines: tornado - cordillera administrative region (abra) - 21/05/2021,2021-05-21,4,Weather related,Storm,Tornado
PHL,Philippines,2021,Philippines: whirlwind - north cotabato (kabacan) - 31/08/2021,2021-08-31,90,Weather related,Storm,Tornado
PHL,Philippines,2021,Philippines: tornado - region vi (molo district) - 05/05/2021,2021-05-06,120,Weather related,Storm,Tornado
PHL,Philippines,2021,"Philippines: tropical storm dujuan (locally known as auring) - region x, xi and caraga - 17/02/2021",2021-02-17,232000,Weather related,Storm,"Storm, tropical"
PHL,Philippines,2021,Philippines: coastal flood - region xi - 10/10/2021,2021-10-10,2000,Weather related,Flood,Coastal flood
PHL,Philippines,2021,"Philippines: tropical storm ""dante"" / ""choi-wan"" - 10 regions - 31/05/2021",2021-05-31,50000,Weather related,Storm,"Storm, tropical"
PHL,Philippines,2021,"Philippines: tropical storm ""crising"" - regions ix and xi - 13/05/2021",2021-05-13,14000,Weather related,Storm,"Storm, tropical"
PHL,Philippines,2021,Philippines: riverine flood - south cotabato (lake sebu town) - 27/05/2021,2021-05-27,100,Weather related,Flood,Riverine flood
PHL,Philippines,2021,Philippines: riverine flood - zamboanga peninsula (zamboanga del sur/zamboanga city) - 19/01/2021,2021-01-19,570,Weather related,Flood,Riverine flood
PHL,Philippines,2021,Philippines: thunderstorm - cordillera administrative region (apayo/santa marcela) - 25/02/2021,2021-02-25,80,Weather related,Storm,Thunderstorm
PHL,Philippines,2021,Philippines: tension cracks - region vi (antique) - 10/06/2021,2021-06-10,310,Geophysical,Dry mass movement,"Mass movement, landslide"
PHL,Philippines,2021,Philippines: ground tensions - sultan kudarat (lake sebu) - 13/06/2021,2021-06-13,600,Geophysical,Dry mass movement,"Mass movement, landslide"
PHL,Philippines,2021,Philippines: earthquake - davao del sur (kidapawan city) - 07/02/2021,2021-02-07,270,Geophysical,Earthquake,Earthquake
PHL,Philippines,2021,Philippines: earthquake - bukidnon (kadingilan) - 14/06/2021,2021-06-14,120,Geophysical,Earthquake,Earthquake
PHL,Philippines,2021,Philippines: earthquake - davao (davao del sur) - 07/02/2021,2021-02-07,480,Geophysical,Earthquake,Earthquake
PHL,Philippines,2021,Philippines: storm [monsoon trough] - regions vii and xii - 09/06/2021,2021-06-09,8600,Weather related,Storm,"Storm, storm surge"
PHL,Philippines,2021,Philippines: storm surge - barmm - 14/01/2021,2021-01-14,270,Weather related,Storm,"Storm, storm surge"
PHL,Philippines,2021,Philippines: landslide - region vi (antique) - 10/09/2021,2021-09-10,200,Weather related,Wet mass movement,Wet mass movement
PHL,Philippines,2021,Philippines: thunderstorm - regions ix and xii - 17/05/2021,2021-05-17,2100,Weather related,Storm,Thunderstorm
PHL,Philippines,2021,Philippines: landslide - isabela (benito solivan) - 09/06/2021,2021-06-09,71,Weather related,Wet mass movement,"Landslide, avalanche"
PHL,Philippines,2021,Philippines: landslide - western visayas (antique) - 19/07/2021,2021-07-19,10,Weather related,Wet mass movement,"Landslide, avalanche"
PHL,Philippines,2021,Philippines: flood - davao del sur (davao city) - 09/07/2021,2021-07-09,600,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - region x - 11/04/2021,2021-04-11,85,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - region vi (negros occidental) - 05/06/2021,2021-06-05,1900,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - region xi (davao del sur) - 26/04/2021,2021-04-26,630,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - davao (davao del sur/davao city) - 15/01/2021,2021-01-15,910,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - davao del sur (davao city) - 13/07/2021,2021-07-13,600,Weather related,Flood,Flood
PHL,Philippines,2021,"Philippines: flood - sulu province (patikul, parang and jolo municipalities) - 17/01/2021",2021-01-17,1600,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - south cotabato (general santos city) - 18/05/2021,2021-05-18,590,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - region xi (zamboanga city) - 19/05/2021,2021-05-19,7700,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - butuan city - 25/05/2021,2021-05-25,1200,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood - western visayas (aklan/5 municipalities) - 13/03/2021,2021-03-13,1200,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [intertropical convergence zone] - region vi - 20/09/2021,2021-09-20,2200,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [southwest monsoon] - region iii and mimaropa - 10/09/2021,2021-09-10,600,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: flood [itcz] - region ix - 16/11/2021,2021-11-16,5300,Weather related,Flood,Flood
PHL,Philippines,2021,Philippines: typhoon - camiguin (mahinog) - 01/06/2021,2021-06-01,57,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2021,"China, philippines, taiwan: typhoon ""in-fa"" / ""fabian "" - 9 provinces (chn), 8 regions (phl),  new taipei, taoyuan and hsinchu (twn) - 14/07/2021",2021-07-14,215000,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2021,"China, korea, philippines, taiwan: typhoon chanthu (locally known as kiko) - shanghai (chn), jeollanam-do (kor), region i, ii and car (phl), 10 counties (twn) - 07/09/2021",2021-09-05,7700,Weather related,Storm,"Storm, tropical, typhoon"
PHL,Philippines,2009,Mount mayon,2009-01-01,50000,Geophysical,Volcanic activity,Volcanic eruption
PHL,Philippines,2011,Bulusan,2011-01-01,2000,Geophysical,Volcanic activity,Volcanic eruption
PHL,Philippines,2014,Mayon volcano,2014-09-19,50000,Geophysical,Volcanic activity,Volcanic eruption
PHL,Philippines,2018,Philippines: volcano (mayon) - albay (region v) - 13/1/2018,2018-01-13,91000,Geophysical,Volcanic activity,Volcanic eruption
PHL,Philippines,2020,"Philippines: volcanic eruption (mount taal) - calabarzon, ncr, central luzon, mimaropa - 12/01/2020",2020-01-12,506000,Geophysical,Volcanic activity,Volcanic eruption
PHL,Philippines,2021,"Philippines: volcanic eruption ""taal"" -  calabarzon (batangas) - 01/07/2021",2021-07-01,22000,Geophysical,Volcanic activity,Volcanic eruption
PHL,Philippines,2021,"Philippines: volcanic eruption ""taal""- luzon (batangas/calabarzon/taal volcano island) - 15/02/2021",2021-02-13,200,Geophysical,Volcanic activity,Volcanic eruption
